inquiry_seed_count,inquiry_seed_prop,inquiry_seed_log,inquiry_narrow_count,inquiry_narrow_prop,inquiry_narrow_log,inquiry_full_count,inquiry_full_prop,inquiry_full_log,inquiry_full_nohands_count,inquiry_full_nohands_prop,inquiry_full_nohands_log,traditional_prop,progressive_prop,numwords,numpages,reading1314,math1314,reading1415,math1415,reading1516,math1516,reading1617,math1617,pocschool,pocschoolcount,povertyschool,povertyschoolcount,pocsd,povertysd,childpovertysd,students,age,state,cmo,cmoname,titlei,urban,primary,middle,high,otherlevel,level,expulsions,suspensions,incidents,lawreferrals,lepcount,disabledcount,approgram,teachersccd,teacherscrdc,certcount,certrate,geodistrict,numpdfs,ncessch,ethnicisolated99,ethnicisolated95,ethnicisolated90,ethnicisolated80,ethnicisolated70,collegesd,popdensity,unemployment,foreignborn,closerate,publicdensity,charterdensity,readlevel13,mathlevel13,readall13,mathall13,readlevel14,mathlevel14,readall14,mathall14,readlevel15,mathlevel15,readall15,mathall15,readingscore,mathscore,readpct,mathpct,read5,math5,read10,math10,read20,math20,read50,math50,cmonum,statenum,pctpdfs,teachers,lnage,lnstudents,lnteachers
0,0,0,2,.000050788491,.10382889,10,.00025398761,.22662681,5,.00012697768,.16933845,.00033010842,.0003301168,39381,111,96,90,74,65,76,68,74,73,54.339622,432,,,.1459,.052199997,.10628029,795,17,AZ,1,None,0,1,1,0,0,0,Primary,0,0,0,0,12,40,,,37,27,.72972971,407750,1,40003400707,1,1,1,1,1,35.549999,680.42438,5.2399998,10.6,0,18,6,1,1,.95999998,.89999998,1,1,.74000001,.64999998,1,1,.75999999,.68000001,76,68,76,68,,,,,,,,,None,AZ,.0090090092,37,2.8332133,6.6783423,3.6109178
1,.000022878059,.064869031,8,.00018305379,.20563306,26,.00059514272,.30846015,26,.00059514272,.30846015,.00068640459,.00043481245,43711,80,96,85,65-69,55-59,65-69,65-69,60-64,55-59,14.018692,45,.93457943,3,.074600004,.040599998,.053497016,321,17,AZ,0,None,0,1,0,0,0,1,Other,0,0,0,0,0,36,No,,21,21,1,400001,0,40003600709,1,1,1,1,1,56.23,276.13461,5.1599998,8.8000002,0,18,6,1,1,.95999998,.85000002,5,5,.67000002,.56999999,5,5,.67000002,.67000002,65-69,65-69,,,67,67,,,,,,,None,AZ,0,21,2.8332133,5.771441,3.0445225
0,0,0,0,0,0,0,0,0,0,0,0,.00087584846,.00087642419,4567,6,,,PS,PS,GE50,PS,LT50,LT50,0,0,,,.074600004,.040599998,.053497016,13,1,AZ,0,None,0,1,0,0,1,0,High,0,0,0,0,0,,No,,0,0,,400001,0,40003603421,0,0,0,0,0,56.23,276.13461,5.1599998,8.8000002,0,18,6,,,,,,,,,50,,.75,,GE50,PS,,,,,,,,,75,,None,AZ,0,0,0,2.5649493,
0,0,0,0,0,0,2,.00080385851,.14050126,1,.00040176779,.088641867,.00080321287,.00040160643,2490,4,85-89,70-74,40-44,30-34,40-44,40-44,45-49,35-39,78.629036,195,74.596771,185,.20989999,.17940001,.30918643,248,17,AZ,0,Bennett Academy,0,1,1,0,0,0,Primary,0,0,0,0,12,19,,,15,13,.86666667,409060,0,40003700712,1,1,1,1,1,22.950001,5425.812,8.8599997,16.99,0,40,10,5,5,.87,.72000003,5,5,.41999999,.31999999,5,5,.41999999,.41999999,40-44,40-44,,,42,42,,,,,,,Bennett Academy,AZ,0,15,2.8332133,5.5134287,2.7080503
0,0,0,0,0,0,2,.00080385851,.14050126,1,.00040176779,.088641867,.00080321287,.00040160643,2490,4,80-89,70-79,50-59,50-59,40-49,20-29,40-59,40-59,68.604652,59,44.186047,38,.20989999,.17940001,.30918643,86,3,AZ,0,Bennett Academy,0,1,1,0,0,0,Primary,0,0,0,0,6,,,,5,5,1,409060,0,40003703168,1,1,1,1,1,22.950001,5425.812,8.8599997,16.99,0,40,10,10,10,.85000002,.75,10,10,.55000001,.55000001,10,10,.44999999,.25,40-49,20-29,,,,,45,25,,,,,Bennett Academy,AZ,0,5,1.0986123,4.4543471,1.6094379
0,0,0,0,0,0,2,.00071352121,.13839136,0,0,0,0,.00035663339,2805,5,70-79,30-39,11-19,11-19,11-19,11-19,11-19,LE10,86.458336,83,91.666664,88,.15710001,.12620001,.22460727,96,3,AZ,0,None,1,1,1,0,0,0,Primary,0,25,0,0,13,14,,,6.25,6.25,1,404970,0,40004003343,1,1,1,1,1,24.41,2595.9009,7.4699998,12.05,0,40,10,10,10,.75,.34999999,10,10,.15000001,.15000001,10,10,.15000001,.15000001,11-19,11-19,,,,,15,15,,,,,None,AZ,0,6.25,1.0986123,4.5643482,1.8325815
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1712,3,85-89,70-74,40-49,40-49,40-49,11-19,50-59,40-49,94.881889,241,91.732285,233,.43689999,.271,.41054314,254,17,AZ,1,None,1,1,0,0,1,0,High,0,39,1,2,2,13,No,,13,7,.53846157,401050,0,40004100718,1,1,1,1,1,24.969999,3668.053,8.1499996,23.530001,0,40,10,5,5,.87,.72000003,10,10,.44999999,.44999999,10,10,.44999999,.15000001,40-49,11-19,,,,,45,15,,,,,None,AZ,0,13,2.8332133,5.5373344,2.5649493
3,.00016321201,.14118384,7,.00038091093,.21178044,15,.00081654871,.28238487,13,.00070759852,.2687819,.00021761602,.0010342951,18381,47,GE90,70-79,60-69,40-49,PS,LT50,30-39,20-29,36.734695,72,3.0612245,6,.35619998,.16290002,.27558932,196,17,AZ,0,None,0,1,0,0,1,0,High,0,0,0,0,0,43,Yes,,13,8,.61538464,408310,0,40004300733,1,1,1,1,1,35.150002,4322.6172,7.0799999,15.43,0,40,10,10,10,.94999999,.75,10,10,.64999998,.44999999,,50,,.25,PS,LT50,,,,,,,,,,25,None,AZ,0,13,2.8332133,5.2781148,2.5649493
0,0,0,4,.000031514923,.13695778,9,.000070911366,.19594294,7,.000055152417,.17695387,.00015756965,.000094549985,126928,100,50-54,25-29,LE5,15-19,6-9,10-14,10-14,15-19,100,217,42.396313,92,.15710001,.12620001,.22460727,217,17,AZ,0,None,1,0,0,0,1,0,High,0,121,23,15,0,44,No,,29,29,1,404970,1,40004700744,1,1,1,1,1,24.41,2595.9009,7.4699998,12.05,0,40,10,5,5,.51999998,.27000001,5,5,.02,.17,5,5,.07,.12,6-9,10-14,,,7,12,,,,,,,None,AZ,.0099999998,29,2.8332133,5.3798971,3.3672957
0,0,0,0,0,0,0,0,0,0,0,0,.00010467368,.00015702695,19107,45,PS,PS,LT50,LT50,LT50,PS,LT50,PS,100,43,20.930233,9,.15710001,.12620001,.22460727,43,6,AZ,0,None,1,0,0,0,1,0,High,0,4,0,2,0,8,No,,6,6,1,404970,1,40004703031,1,1,1,1,1,24.41,2595.9009,7.4699998,12.05,0,40,10,,,,,50,50,.25,.25,50,,.25,,LT50,PS,,,,,,,,,25,,None,AZ,.022222223,6,1.7917595,3.7612002,1.7917595
